Question_id;Description;Rating;Human_component_id;Human_component;Behavior_id;Behavior;Answer_id;Answers;Answer_value
R1;Das Anforderungsmanagementsystem muss die Speicherung elementarer Anforderungen unterstützen.;5;1;Entwickler, Projektmanager, Tester, Wirtschaftsanalyst;1;Informationsmodell;1;Ist nicht realisierbar;0
R1;Das Anforderungsmanagementsystem muss die Speicherung elementarer Anforderungen unterstützen.;5;1;Entwickler, Projektmanager, Tester, Wirtschaftsanalyst;1;Informationsmodell;2;Ist mit Editor hinzuzufügen;1
R1;Das Anforderungsmanagementsystem muss die Speicherung elementarer Anforderungen unterstützen.;5;1;Entwickler, Projektmanager, Tester, Wirtschaftsanalyst;1;Informationsmodell;3;Ist einfach hinzuzufügen;2
R1;Das Anforderungsmanagementsystem muss die Speicherung elementarer Anforderungen unterstützen.;5;1;Entwickler, Projektmanager, Tester, Wirtschaftsanalyst;1;Informationsmodell;4;Ist gleich verfügbar;3
R1.1;Das Anforderungsmanagementsystem muss die Möglichkeit bieten, Definitionen von in Anforderungen verwendeten Begriffen zu speichern.;4;1;Entwickler, Projektmanager, Tester, Wirtschaftsanalyst;1;Informationsmodell;5;Ist nicht realisierbar;0
R1.1;Das Anforderungsmanagementsystem muss die Möglichkeit bieten, Definitionen von in Anforderungen verwendeten Begriffen zu speichern.;4;1;Entwickler, Projektmanager, Tester, Wirtschaftsanalyst;1;Informationsmodell;6;Ist mit Editor hinzuzufügen;1
R1.1;Das Anforderungsmanagementsystem muss die Möglichkeit bieten, Definitionen von in Anforderungen verwendeten Begriffen zu speichern.;4;1;Entwickler, Projektmanager, Tester, Wirtschaftsanalyst;1;Informationsmodell;7;Ist einfach hinzuzufügen;2
R1.1;Das Anforderungsmanagementsystem muss die Möglichkeit bieten, Definitionen von in Anforderungen verwendeten Begriffen zu speichern.;4;1;Entwickler, Projektmanager, Tester, Wirtschaftsanalyst;1;Informationsmodell;8;Ist gleich verfügbar;3
R1.2;Das Tool muss über eine Kommentarfunktion verfügen, die es Benutzern ermöglicht, unabhängig vom formalen Änderungsmanagement Anmerkungen zu Anforderungen und deren Änderungen hinzuzufügen.;4;1;Entwickler, Projektmanager, Tester, Wirtschaftsanalyst;2;Änderungsverwaltung und Kommentare;9;Ist nicht realisierbar;0
R1.2;Das Tool muss über eine Kommentarfunktion verfügen, die es Benutzern ermöglicht, unabhängig vom formalen Änderungsmanagement Anmerkungen zu Anforderungen und deren Änderungen hinzuzufügen.;4;1;Entwickler, Projektmanager, Tester, Wirtschaftsanalyst;2;Änderungsverwaltung und Kommentare;10;Ist mit Editor hinzuzufügen;1
R1.2;Das Tool muss über eine Kommentarfunktion verfügen, die es Benutzern ermöglicht, unabhängig vom formalen Änderungsmanagement Anmerkungen zu Anforderungen und deren Änderungen hinzuzufügen.;4;1;Entwickler, Projektmanager, Tester, Wirtschaftsanalyst;2;Änderungsverwaltung und Kommentare;11;Ist einfach hinzuzufügen;2
R1.2;Das Tool muss über eine Kommentarfunktion verfügen, die es Benutzern ermöglicht, unabhängig vom formalen Änderungsmanagement Anmerkungen zu Anforderungen und deren Änderungen hinzuzufügen.;4;1;Entwickler, Projektmanager, Tester, Wirtschaftsanalyst;2;Änderungsverwaltung und Kommentare;12;Ist gleich verfügbar;3
R1.3;Das Tool muss alle Änderungen der Anforderungen nachverfolgen und in der Datenbank speichern.;5;1;Entwickler, Projektmanager, Tester, Wirtschaftsanalyst;3;Dokumentation der Geschichte;13;Ist nicht realisierbar;0
R1.3;Das Tool muss alle Änderungen der Anforderungen nachverfolgen und in der Datenbank speichern.;5;1;Entwickler, Projektmanager, Tester, Wirtschaftsanalyst;3;Dokumentation der Geschichte;14;Ist mit Editor hinzuzufügen;1
R1.3;Das Tool muss alle Änderungen der Anforderungen nachverfolgen und in der Datenbank speichern.;5;1;Entwickler, Projektmanager, Tester, Wirtschaftsanalyst;3;Dokumentation der Geschichte;15;Ist einfach hinzuzufügen;2
R1.3;Das Tool muss alle Änderungen der Anforderungen nachverfolgen und in der Datenbank speichern.;5;1;Entwickler, Projektmanager, Tester, Wirtschaftsanalyst;3;Dokumentation der Geschichte;16;Ist gleich verfügbar;3
R1.3.1;Das Tool muss die Erstellung von Baselines für Anforderungsdokumente unterstützen, um einen Referenzpunkt für den Vergleich zu schaffen.;5;1;Entwickler, Projektmanager, Tester, Wirtschaftsanalyst;4;Baselining;17;Ist nicht realisierbar;0
R1.3.1;Das Tool muss die Erstellung von Baselines für Anforderungsdokumente unterstützen, um einen Referenzpunkt für den Vergleich zu schaffen.;5;1;Entwickler, Projektmanager, Tester, Wirtschaftsanalyst;4;Baselining;18;Ist mit Editor hinzuzufügen;1
R1.3.1;Das Tool muss die Erstellung von Baselines für Anforderungsdokumente unterstützen, um einen Referenzpunkt für den Vergleich zu schaffen.;5;1;Entwickler, Projektmanager, Tester, Wirtschaftsanalyst;4;Baselining;19;Ist einfach hinzuzufügen;2
R1.3.1;Das Tool muss die Erstellung von Baselines für Anforderungsdokumente unterstützen, um einen Referenzpunkt für den Vergleich zu schaffen.;5;1;Entwickler, Projektmanager, Tester, Wirtschaftsanalyst;4;Baselining;20;Ist gleich verfügbar;3
R1.3.1.1;Das Tool muss den Vergleich verschiedener Baselines ermöglichen, um Änderungen zu bewerten und die Entwicklung der Anforderungen im Laufe der Zeit zu verfolgen.;4;2;Projektmanager, Tester, Wirtschaftsanalyst;4;Baselining;21;Ist nicht realisierbar;0
R1.3.1.1;Das Tool muss den Vergleich verschiedener Baselines ermöglichen, um Änderungen zu bewerten und die Entwicklung der Anforderungen im Laufe der Zeit zu verfolgen.;4;2;Projektmanager, Tester, Wirtschaftsanalyst;4;Baselining;22;Ist mit Editor hinzuzufügen;1
R1.3.1.1;Das Tool muss den Vergleich verschiedener Baselines ermöglichen, um Änderungen zu bewerten und die Entwicklung der Anforderungen im Laufe der Zeit zu verfolgen.;4;2;Projektmanager, Tester, Wirtschaftsanalyst;4;Baselining;23;Ist einfach hinzuzufügen;2
R1.3.1.1;Das Tool muss den Vergleich verschiedener Baselines ermöglichen, um Änderungen zu bewerten und die Entwicklung der Anforderungen im Laufe der Zeit zu verfolgen.;4;2;Projektmanager, Tester, Wirtschaftsanalyst;4;Baselining;24;Ist gleich verfügbar;3
